nohup: ignoring input
[PHB] Step 50, mean energy: nan
[PHB] Step 100, mean energy: nan
[PHB] Step 150, mean energy: nan
[PHB] Step 200, mean energy: nan
[PHB] Step 250, mean energy: nan
[PHB] Step 300, mean energy: nan
[PHB] Step 350, mean energy: nan
[PHB] Step 400, mean energy: nan
[PHB] Step 450, mean energy: nan
[PHB] Step 500, mean energy: nan
[PHB] Step 550, mean energy: nan
[PHB] Step 600, mean energy: nan
[PHB] Step 650, mean energy: nan
[PHB] Step 700, mean energy: nan
[PHB] Step 750, mean energy: nan
[PHB] Step 800, mean energy: nan
[PHB] Step 850, mean energy: nan
[PHB] Step 900, mean energy: nan
[PHB] Step 950, mean energy: nan
[PHB] Step 1000, mean energy: nan
[PHB] Step 1050, mean energy: nan
[PHB] Step 1100, mean energy: nan
[PHB] Step 1150, mean energy: nan
[PHB] Step 1200, mean energy: nan
[PHB] Step 1250, mean energy: nan
[PHB] Step 1300, mean energy: nan
[PHB] Step 1350, mean energy: nan
[PHB] Step 1400, mean energy: nan
[PHB] Step 1450, mean energy: nan
[PHB] Step 1500, mean energy: nan
[PHB] Step 1550, mean energy: nan
[PHB] Step 1600, mean energy: nan
[PHB] Step 1650, mean energy: nan
[PHB] Step 1700, mean energy: nan
[PHB] Step 1750, mean energy: nan
[PHB] Step 1800, mean energy: nan
[PHB] Step 1850, mean energy: nan
[PHB] Step 1900, mean energy: nan
[PHB] Step 1950, mean energy: nan
[PHB] Step 2000, mean energy: nan
[PHB] Step 2050, mean energy: nan
[PHB] Step 2100, mean energy: nan
[PHB] Step 2150, mean energy: nan
[PHB] Step 2200, mean energy: nan
[PHB] Step 2250, mean energy: nan
[PHB] Step 2300, mean energy: nan
[PHB] Step 2350, mean energy: nan
[PHB] Step 2400, mean energy: nan
[PHB] Step 2450, mean energy: nan
[PHB] Step 2500, mean energy: nan
[PHB] Step 2550, mean energy: nan
[PHB] Step 2600, mean energy: nan
[PHB] Step 2650, mean energy: nan
[PHB] Step 2700, mean energy: nan
[PHB] Step 2750, mean energy: nan
[PHB] Step 2800, mean energy: nan
[PHB] Step 2850, mean energy: nan
[PHB] Step 2900, mean energy: nan
[PHB] Step 2950, mean energy: nan
[PHB] Step 3000, mean energy: nan
[PHB] Step 3050, mean energy: nan
[PHB] Step 3100, mean energy: nan
[PHB] Step 3150, mean energy: nan
[PHB] Step 3200, mean energy: nan
[PHB] Step 3250, mean energy: nan
[PHB] Step 3300, mean energy: nan
[PHB] Step 3350, mean energy: nan
[PHB] Step 3400, mean energy: nan
[PHB] Step 3450, mean energy: nan
[PHB] Step 3500, mean energy: nan
[PHB] Step 3550, mean energy: nan
[PHB] Step 3600, mean energy: nan
[PHB] Step 3650, mean energy: nan
[PHB] Step 3700, mean energy: nan
[PHB] Step 3750, mean energy: nan
[PHB] Step 3800, mean energy: nan
[PHB] Step 3850, mean energy: nan
[PHB] Step 3900, mean energy: nan
[PHB] Step 3950, mean energy: nan
[PHB] Step 4000, mean energy: nan
[PHB] Step 4050, mean energy: nan
[PHB] Step 4100, mean energy: nan
[PHB] Step 4150, mean energy: nan
[PHB] Step 4200, mean energy: nan
[PHB] Step 4250, mean energy: nan
[PHB] Step 4300, mean energy: nan
[PHB] Step 4350, mean energy: nan
[PHB] Step 4400, mean energy: nan
[PHB] Step 4450, mean energy: nan
[PHB] Step 4500, mean energy: nan
[PHB] Step 4550, mean energy: nan
[PHB] Step 4600, mean energy: nan
[PHB] Step 4650, mean energy: nan
[PHB] Step 4700, mean energy: nan
[PHB] Step 4750, mean energy: nan
[PHB] Step 4800, mean energy: nan
[PHB] Step 4850, mean energy: nan
[PHB] Step 4900, mean energy: nan
[PHB] Step 4950, mean energy: nan
[PHB] Step 5000, mean energy: nan
[PHB] Step 5050, mean energy: nan
[PHB] Step 5100, mean energy: nan
[PHB] Step 5150, mean energy: nan
[PHB] Step 5200, mean energy: nan
[PHB] Step 5250, mean energy: nan
[PHB] Step 5300, mean energy: nan
[PHB] Step 5350, mean energy: nan
[PHB] Step 5400, mean energy: nan
[PHB] Step 5450, mean energy: nan
[PHB] Step 5500, mean energy: nan
[PHB] Step 5550, mean energy: nan
[PHB] Step 5600, mean energy: nan
[PHB] Step 5650, mean energy: nan
[PHB] Step 5700, mean energy: nan
[PHB] Step 5750, mean energy: nan
[PHB] Step 5800, mean energy: nan
[PHB] Step 5850, mean energy: nan
[PHB] Step 5900, mean energy: nan
[PHB] Step 5950, mean energy: nan
[PHB] Step 6000, mean energy: nan
[PHB] Step 6050, mean energy: nan
[PHB] Step 6100, mean energy: nan
[PHB] Step 6150, mean energy: nan
[PHB] Step 6200, mean energy: nan
[PHB] Step 6250, mean energy: nan
[PHB] Step 6300, mean energy: nan
[PHB] Step 6350, mean energy: nan
[PHB] Step 6400, mean energy: nan
[PHB] Step 6450, mean energy: nan
[PHB] Step 6500, mean energy: nan
[PHB] Step 6550, mean energy: nan
[PHB] Step 6600, mean energy: nan
[PHB] Step 6650, mean energy: nan
[PHB] Step 6700, mean energy: nan
[PHB] Step 6750, mean energy: nan
[PHB] Step 6800, mean energy: nan
[PHB] Step 6850, mean energy: nan
[PHB] Step 6900, mean energy: nan
[PHB] Step 6950, mean energy: nan
[PHB] Step 7000, mean energy: nan
[PHB] Step 7050, mean energy: nan
[PHB] Step 7100, mean energy: nan
[PHB] Step 7150, mean energy: nan
[PHB] Step 7200, mean energy: nan
[PHB] Step 7250, mean energy: nan
[PHB] Step 7300, mean energy: nan
[PHB] Step 7350, mean energy: nan
[PHB] Step 7400, mean energy: nan
[PHB] Step 7450, mean energy: nan
[PHB] Step 7500, mean energy: nan
[PHB] Step 7550, mean energy: nan
[PHB] Step 7600, mean energy: nan
[PHB] Step 7650, mean energy: nan
[PHB] Step 7700, mean energy: nan
[PHB] Step 7750, mean energy: nan
[PHB] Step 7800, mean energy: nan
[PHB] Step 7850, mean energy: nan
[PHB] Step 7900, mean energy: nan
[PHB] Step 7950, mean energy: nan
[PHB] Step 8000, mean energy: nan
[PHB] Step 8050, mean energy: nan
[PHB] Step 8100, mean energy: nan
[PHB] Step 8150, mean energy: nan
[PHB] Step 8200, mean energy: nan
[PHB] Step 8250, mean energy: nan
[PHB] Step 8300, mean energy: nan
[PHB] Step 8350, mean energy: nan
[PHB] Step 8400, mean energy: nan
[PHB] Step 8450, mean energy: nan
[PHB] Step 8500, mean energy: nan
[PHB] Step 8550, mean energy: nan
[PHB] Step 8600, mean energy: nan
[PHB] Step 8650, mean energy: nan
[PHB] Step 8700, mean energy: nan
[PHB] Step 8750, mean energy: nan
[PHB] Step 8800, mean energy: nan
[PHB] Step 8850, mean energy: nan
[PHB] Step 8900, mean energy: nan
[PHB] Step 8950, mean energy: nan
[PHB] Step 9000, mean energy: nan
[PHB] Step 9050, mean energy: nan
[PHB] Step 9100, mean energy: nan
[PHB] Step 9150, mean energy: nan
[PHB] Step 9200, mean energy: nan
[PHB] Step 9250, mean energy: nan
[PHB] Step 9300, mean energy: nan
[PHB] Step 9350, mean energy: nan
[PHB] Step 9400, mean energy: nan
[PHB] Step 9450, mean energy: nan
[PHB] Step 9500, mean energy: nan
[PHB] Step 9550, mean energy: nan
[PHB] Step 9600, mean energy: nan
[PHB] Step 9650, mean energy: nan
[PHB] Step 9700, mean energy: nan
[PHB] Step 9750, mean energy: nan
[PHB] Step 9800, mean energy: nan
[PHB] Step 9850, mean energy: nan
[PHB] Step 9900, mean energy: nan
[PHB] Step 9950, mean energy: nan
[PHB] Step 10000, mean energy: nan
[PHB] Step 10050, mean energy: nan
[PHB] Step 10100, mean energy: nan
[PHB] Step 10150, mean energy: nan
[PHB] Step 10200, mean energy: nan
[PHB] Step 10250, mean energy: nan
[PHB] Step 10300, mean energy: nan
[PHB] Step 10350, mean energy: nan
[PHB] Step 10400, mean energy: nan
[PHB] Step 10450, mean energy: nan
[PHB] Step 10500, mean energy: nan
[PHB] Step 10550, mean energy: nan
[PHB] Step 10600, mean energy: nan
[PHB] Step 10650, mean energy: nan
[PHB] Step 10700, mean energy: nan
[PHB] Step 10750, mean energy: nan
[PHB] Step 10800, mean energy: nan
[PHB] Step 10850, mean energy: nan
[PHB] Step 10900, mean energy: nan
[PHB] Step 10950, mean energy: nan
[PHB] Step 11000, mean energy: nan
[PHB] Step 11050, mean energy: nan
[PHB] Step 11100, mean energy: nan
[PHB] Step 11150, mean energy: nan
[PHB] Step 11200, mean energy: nan
[PHB] Step 11250, mean energy: nan
[PHB] Step 11300, mean energy: nan
[PHB] Step 11350, mean energy: nan
[PHB] Step 11400, mean energy: nan
[PHB] Step 11450, mean energy: nan
[PHB] Step 11500, mean energy: nan
[PHB] Step 11550, mean energy: nan
[PHB] Step 11600, mean energy: nan
[PHB] Step 11650, mean energy: nan
[PHB] Step 11700, mean energy: nan
[PHB] Step 11750, mean energy: nan
[PHB] Step 11800, mean energy: nan
[PHB] Step 11850, mean energy: nan
[PHB] Step 11900, mean energy: nan
[PHB] Step 11950, mean energy: nan
[PHB] Step 12000, mean energy: nan
[PHB] Step 12050, mean energy: nan
[PHB] Step 12100, mean energy: nan
[PHB] Step 12150, mean energy: nan
[PHB] Step 12200, mean energy: nan
[PHB] Step 12250, mean energy: nan
[PHB] Step 12300, mean energy: nan
[PHB] Step 12350, mean energy: nan
[PHB] Step 12400, mean energy: nan
[PHB] Step 12450, mean energy: nan
[PHB] Step 12500, mean energy: nan
[PHB] Step 12550, mean energy: nan
[PHB] Step 12600, mean energy: nan
[PHB] Step 12650, mean energy: nan
[PHB] Step 12700, mean energy: nan
[PHB] Step 12750, mean energy: nan
[PHB] Step 12800, mean energy: nan
[PHB] Step 12850, mean energy: nan
[PHB] Step 12900, mean energy: nan
[PHB] Step 12950, mean energy: nan
[PHB] Step 13000, mean energy: nan
[PHB] Step 13050, mean energy: nan
[PHB] Step 13100, mean energy: nan
[PHB] Step 13150, mean energy: nan
[PHB] Step 13200, mean energy: nan
[PHB] Step 13250, mean energy: nan
[PHB] Step 13300, mean energy: nan
[PHB] Step 13350, mean energy: nan
[PHB] Step 13400, mean energy: nan
[PHB] Step 13450, mean energy: nan
[PHB] Step 13500, mean energy: nan
[PHB] Step 13550, mean energy: nan
[PHB] Step 13600, mean energy: nan
[PHB] Step 13650, mean energy: nan
[PHB] Step 13700, mean energy: nan
[PHB] Step 13750, mean energy: nan
[PHB] Step 13800, mean energy: nan
[PHB] Step 13850, mean energy: nan
[PHB] Step 13900, mean energy: nan
[PHB] Step 13950, mean energy: nan
[PHB] Step 14000, mean energy: nan
[PHB] Step 14050, mean energy: nan
[PHB] Step 14100, mean energy: nan
[PHB] Step 14150, mean energy: nan
[PHB] Step 14200, mean energy: nan
[PHB] Step 14250, mean energy: nan
[PHB] Step 14300, mean energy: nan
[PHB] Step 14350, mean energy: nan
[PHB] Step 14400, mean energy: nan
[PHB] Step 14450, mean energy: nan
[PHB] Step 14500, mean energy: nan
[PHB] Step 14550, mean energy: nan
[PHB] Step 14600, mean energy: nan
[PHB] Step 14650, mean energy: nan
[PHB] Step 14700, mean energy: nan
[PHB] Step 14750, mean energy: nan
[PHB] Step 14800, mean energy: nan
[PHB] Step 14850, mean energy: nan
